--> Reached 0°, going forward
Angle: 79 | Step: 1
Angle: 179 | Step: 1
--> Reached 180°, going back
Angle: 81 | Step: -1
--> Reached 0°, going forward
Angle: 19 | Step: 1
Angle: 119 | Step: 1
--> Reached 180°, going back
Angle: 141 | Step: -1
Angle: 41 | Step: -1
--> Reached 0°, going forward
Angle: 59 | Step: 1
Angle: 159 | Step: 1
--> Reached 180°, going back
Angle: 101 | Step: -1
Angle: 1 | Step: -1
--> Reached 0°, going forward
Angle: 99 | Step: 1
--> Reached 180°, going back
Angle: 161 | Step: -1
Angle: 61 | Step: -1
--> Reached 0°, going forward
