Time_ms,Mode,Angle,Battery,Brake
1019,0,90,100,0
1119,0,90,100,0
1219,0,90,100,0
1319,0,90,100,0
1419,0,90,100,0
1519,0,90,100,0
1619,0,90,100,0
1719,0,90,100,0
1819,0,90,100,0
1920,0,90,100,0
2020,0,90,99,0
2120,0,90,99,0
2220,0,90,99,0
2320,0,90,99,0
2120,0,90,99,0
2220,0,90,99,0
2320,0,90,99,0
2420,0,90,99,0
2520,0,90,99,0
2620,0,90,99,0
2720,0,90,99,0
2820,0,90,99,0
2920,0,90,99,0
3020,0,90,99,0
3120,0,90,99,0
3220,0,90,99,0
3320,0,90,99,0
3420,0,90,99,0
3520,0,90,99,0
3620,0,90,99,0
3720,0,90,99,0
3820,0,90,99,0
3920,0,90,99,0
4020,0,90,98,0
4120,0,90,98,0
4220,0,90,98,0
4320,0,90,98,0
4420,0,90,98,0
4520,0,90,98,0
4620,0,90,98,0
4720,0,90,98,0
4820,0,90,98,0
4920,0,90,98,0
5020,0,90,98,0
5120,0,90,98,0
5220,0,90,98,0
5320,0,90,98,0
5420,0,90,98,0
5520,0,90,98,0
5620,0,90,98,0
5720,0,90,98,0
5820,0,90,98,0
5920,0,94,98,0
6020,0,93,97,0
6120,0,94,97,0
6220,0,90,97,0
6320,0,90,97,0
6420,0,90,97,0
6520,0,90,97,0
6620,0,90,97,0
6320,0,90,97,0
6420,0,90,97,0
6520,0,90,97,0
6620,0,90,97,0
6720,0,90,97,0
6820,0,90,97,0
6920,0,90,97,0
7020,0,86,97,0
7120,0,78,97,0
7220,0,77,97,0
7320,0,74,97,0
7420,0,73,97,0
7520,0,73,97,0
7620,0,75,97,0
7720,0,73,97,0
7820,0,78,97,0
7920,0,84,97,0
8020,0,86,96,0
8120,0,87,96,0
8220,0,90,96,0
8320,0,96,96,0
8420,0,103,96,0
8520,0,106,96,0
8620,0,110,96,0
8720,0,116,96,0
8820,0,119,96,0
8920,0,122,96,0
9020,0,122,96,0
9120,0,122,96,0
9220,0,126,96,0
9320,0,126,96,0
9420,0,126,96,0
9520,0,131,96,0
9620,0,135,96,0
9720,0,137,96,0
9820,0,137,96,0
9920,0,137,96,0
10020,0,137,95,0
10120,0,137,95,0
10220,0,137,95,0
10320,0,137,95,0
10420,0,137,95,0
10520,0,137,95,0
10320,0,137,95,0
10420,0,137,95,0
10520,0,137,95,0
10620,0,137,95,0
10720,0,137,95,0
10820,0,137,95,0
10920,0,137,95,0
11020,0,137,95,0
11120,2,137,95,1
11220,2,137,95,1
11320,2,137,95,1
11420,2,137,95,1
11520,2,137,95,1
11620,0,137,95,0
11720,0,137,95,0
11820,0,137,95,0
11920,0,137,95,0
12020,0,137,94,0
12120,2,137,94,1
12220,2,137,94,1
12320,2,137,94,1
12420,2,137,94,1
12520,2,137,94,1
12620,0,137,94,0
12720,0,137,94,0
12820,0,137,94,0
12920,0,137,94,0
13020,0,137,94,0
13120,0,137,94,0
13220,0,137,94,0
